Number One,Number Two,Their GCD,Time Spent (Milliseconds)
885674,168020,2,0.0004
639868,643633,1,0.0002
107961,58857,3,0.0002
440161,674567,1,0.0002
664158,121512,6,0.0002
274075,453040,5,0.0002
666906,574430,2,0.0003
223451,326855,1,0.0003
615009,261320,1,0.0003
501499,703891,1,0.0001
23805,379393,1,0.0002
442416,440655,3,0.0002
134645,696822,7,0.0002
30277,842530,13,0.0002
211934,468608,2,0.0002
399302,619842,2,0.0002
89830,187083,13,0.0002
597080,250971,1,0.0001
355461,845140,1,0.0002
874595,902766,1,0.0002
734046,114562,2,0.0002
616574,426634,2,0.0002
672985,241489,1,0.0002
588406,792887,1,0.0002
551306,187699,1,0.000201
805216,50435,1,0.0002
644236,159487,1,0.0002
294011,118601,1,0.0002
835804,463801,1,0.0002
287069,707420,1,0.0002
404939,299876,1,0.0003
671501,91187,1,0.0002
507686,611902,2,0.0002
254710,917467,1,0.0003
18746,508206,2,0.0002
831250,717647,7,0.0002
265754,71377,1,0.0002
70693,157069,1,0.0002
829013,671486,1,0.0002
631263,384709,1,0.0002
465032,454342,2,0.0002
581580,507005,5,0.0002
29654,132872,2,0.0001
432973,503107,1,0.0002
435109,756310,1,0.0002
390794,919175,1,0.0002
666597,22640,1,0.0002
795695,94548,1,0.0002
329236,417785,1,0.0002
45149,850159,1,0.0003
975015,702605,5,0.0002
151119,561784,1,0.0002
669024,116348,4,0.0001
474077,639687,1,0.0002
82633,977543,1,0.0002
271534,286629,1,0.0002
750612,766348,4,0.0002
948058,792854,2,0.0002
125530,631892,2,0.0002
478594,358000,2,0.0002
93212,157175,1,0.0002
980663,402591,1,0.0002
358070,241329,1,0.0002
36943,208249,1,0.0002
264329,874230,1,0.0003
467146,118816,2,0.0002
666526,886280,2,0.0002
815450,581840,10,0.0002
99553,648200,1,0.0002
731840,133276,4,0.0002
97433,459982,1,0.0001
809329,62732,1,0.0002
776274,136272,6,0.0002
941241,16983,3,0.0001
487734,781326,78,0.0001
418253,860009,1,0.0002
538024,8754,2,0.0002
149493,369905,1,0.0002
912436,314793,1,0.0002
851627,214604,1,0.0003
802431,180071,1,0.0002
607428,373027,1,0.0002
961398,53132,2,0.0002
210376,377718,2,0.0002
650705,549350,5,0.0002
669191,539410,1,0.0002
182921,553431,1,0.0002
88372,827586,2,0.0003
693528,619272,24,0.0002
359895,118437,3,0.0002
160350,754922,2,0.0002
491717,98452,1,0.0002
534254,41174,14,0.0001
42171,951760,1,0.0002
207478,393555,1,0.0002
144732,224741,1,0.0002
535280,558959,1,0.0002
178583,140088,1,0.0002
968858,695260,2,0.0001
97575,79858,1,0.0001
31076,255219,1,0.0002
144035,833191,1,0.0002
572792,390498,2,0.0002
684930,593229,3,0.0002
26004,571322,2,0.0001
528351,568358,1,0.0003
490773,591212,1,0.0001
151090,285885,5,0.0001
690025,634559,1,0.0002
788875,175294,1,0.0002
433953,979556,1,0.0003
605626,786617,1,0.0002
